episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size,goal,goals_total
235,3373.9,12.0,180,-4.999999999999978,30740,-1186.0000000000014,1.0000,0.58083,0.0437,64,0,113
236,3377.5,1.8,2,2.9000000000000004,30742,-1183.1000000000013,1.0000,0.58080,0.0458,64,1,114
237,3384.7,5.5,56,0.20000000000000195,30798,-1182.9000000000012,1.0000,0.58003,0.0420,64,1,115
238,3399.2,12.8,167,-1.3499999999999917,30965,-1184.2500000000011,1.0000,0.57776,0.0413,64,1,116
239,3413.4,12.5,180,-9.000000000000004,31145,-1193.2500000000011,1.0000,0.57530,0.0408,64,0,116
240,3420.5,5.4,56,-3.79999999999999,31201,-1197.050000000001,1.0000,0.57454,0.0379,64,1,117
241,3429.2,7.0,79,-0.949999999999994,31280,-1198.0000000000011,1.0000,0.57346,0.0382,64,1,118
242,3439.2,8.2,98,2.1000000000000023,31378,-1195.9000000000012,1.0000,0.57213,0.0415,64,1,119
243,3452.8,11.9,180,-4.999999999999975,31558,-1200.9000000000012,1.0000,0.56967,0.0375,64,0,119
244,3464.7,10.2,127,4.649999999999999,31685,-1196.2500000000011,1.0000,0.56794,0.0361,64,1,120
245,3471.5,5.0,48,0.6000000000000005,31733,-1195.6500000000012,1.0000,0.56728,0.0348,64,1,121
246,3477.5,4.3,37,1.1499999999999992,31770,-1194.5000000000011,1.0000,0.56678,0.0310,64,1,122
247,3491.4,12.2,180,-6.999999999999984,31950,-1201.5000000000011,1.0000,0.56433,0.0353,64,0,122
248,3501.2,8.1,93,-1.6499999999999915,32043,-1203.1500000000012,1.0000,0.56306,0.0363,64,1,123
249,3552.8,7.6,62,-4.09999999999999,32105,-1207.2500000000011,1.0000,0.56221,0.0367,64,1,124
250,3556.6,2.1,6,2.7,32111,-1204.550000000001,1.0000,0.56213,0.0353,64,1,125
